Nome,Indirizzo,Numero,Orari,ivg_farm,ivg_chirurgica,itg,Annotazioni
Ospedale Sant'Orsola - Bologna,Via Albertoni 15 - 40138 Bologna,051 214 1111 0512 143535 (prenotazione),"martedì e venerdì, salvo eventuali urgenze",SI,SI,SI,Prenotazione in ambulatorio o telefonica allo 0512 143535 dal lunedì al venerdì dalle 11 alle 13.30. La paziente deve essere in possesso del certificato al momento della prenotazione. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Franchini - Montecchio,"Str. Barilla, 16, 42027 Montecchio Emilia RE",0522 860111 0522 860164 (consultorio),Non specificati,SI,SI,SI,Accesso al percorso IVG tramite consultorio.  L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Santa Maria della Scaletta - Imola,"Via Montericco, 4, 40026 Imola BO",0542 664190,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale di Forlì- Morgagni e Pierantoni,"Via Carlo Forlanini, 34, 47121 Forlì FC",0543 733100 (consultorio) 0543 731111,"IVG farmacologica tutti i giorni, IVG chirurgica solo il venerdì",SI,SI,SI,Prenotazione tramite consultorio al numero 0543 733100 tutti i giorni. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale di Mirandola-(MO),"Via Antonio Fogazzaro, 6, 41037 Mirandola MO",0535 602111 0535602815 (consultorio),IVG chirurgica secondo turnazione del medico,SI,SI,SI,Prenotazione tramite consultorio al numero 0535602815 dal lunedì al sabato dalle ore 8:30 alle 12:30. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Infermi di Rimini,"Viale Luigi Settembrini, 2, 47923 Rimini RN",0541 705111 0541 747604 (consultorio),Martedì,SI,SI,SI,Accesso tramite consultorio al 0541 747604 L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Azienda Ospedaliera Pisana (anche Ospedale Cisanello),"Via Roma, 67, 56126 Pisa PI",050 992111 050 992600/1 (ambulatorio) 050 992600 (consultorio),Non specificati,SI,SI,SI,Servizio IVG in Day Hospital. Day Hospital di Ginecologia/Ostetricia in ambulatorio nell'Edificio 5.
Ospedale di Nottola,"Località Nottola, 53045 Ospedali Riuniti Valdichiana Sudest SI",0578 713054,Non specificati,SI,SI,SI,Prenotare tramite consultorio chiamando al cell di riferimento 3387240764
Azienda ospedaliero-universitaria Careggi,"Largo Piero Palagi, 1, 50139 Firenze FI",055 794111 055 7947729 (per informazioni),Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite l'Ufficio di programmazione chirurgica per interventi di Pianificazione familiare (IVG) da lunedì al giovedì ore 7:30 alle 9. Per accedere si prende il numero relativo alla ""pianificazione familiare"" dall'apposito Totem nella hall del Padiglione 7 Maternità e si attende la chiamata nella sala di attesa stanza 35. Per informazioni su IVG recarsi di persona o telefonare al numero 055 7947729 dal lunedì al venerdì dalle 11 alle 13."
Ospedale Città di Castello (PG),"Via Luigi Angelini, 10, 06012 Città di Castello PG",075 85091,Non specificati,SI,SI,SI,nan
Ospedale di Umbertide (PG),"Via Camillo Benso Conte di Cavour, 06019 Umbertide PG",0759 422272 - ambulatorio194.altotevere@uslumbria1.it,"lunedì, mercoledì e venerdì",SI,SI,SI,"Servizio attivo lunedì-mercoledì-venerdì per IVG con metodo farmacologico, il venerdì per IVG con metodo chirurgico. Accesso tramite i servizi consultoriali, inviando una mail alla casella di posta elettronica dedicata (ambulatorio194.altotevere@uslumbria1.it) o chiamando il numero 0759 422272"
Presidio Ospedaliero Senigallia (An),"Via B. Cellini, 1, 60019 Senigallia AN",071 79092504 (reparto ginecologia)  071 79092339 (consultorio),"Ivg farmacologica il martedì, giovedì e sabato. Ivg chirurgica il lunedì e il mercoledì.",SI,SI,SI,Si accede al percorso IVG tramite Consultorio. Telefonare al numero 071 79092339 dal lunedì al venerdì dalle 8.30 alle 12.30
Ospedale Mazzoni Ascoli Piceno,"Via degli Iris, 1, 63100 Ascoli Piceno AP","0736 358548, coordinatrice reparto ostetricia e ginecologia",sabato mattina,SI,SI,SI,Per accedere all'IVG bisogna presentare il certificato IVG che si può richiedere presso un consultorio pubblico. Per il consultorio AIED telefonare al numero 0736 255270.
Asur Urbino (Pu),"45, Viale Guido Da Montefeltro - 61029 Urbino (PU)",0722 3011,Non specificati,SI,SI,SI,nan
Ospedale San Filippo e Nicola di Avezzano,"Via G. di Vittorio, 67051 Avezzano AQ",Reparto ginecologia  0863499202 - 0863499201,Tutti i giorni tranne sabato dalle 11 alle 13,SI,SI,SI,"Si accede al percorso IVG senza appuntamento, insieme al ginecologo si sceglie percorso più adatto (chirurgico o farmacologico) e non è necessario portare documenti."
Ospedale S. Maria Goretti - Latina,"Via Antonio Canova, 04100 Latina LT",0773 703908,Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite consultorio, che prende l'appuntamento per l'IVG. 5/7 posti disponibili a settimana"
Ospedale San Filippo Neri,"Via Giovanni Martinotti, 20, 00135 Roma RM",0633 062424,"lunedì, mercoledì e venerdì",SI,SI,SI,"Disponibili 6 posti a settimana per il chirurgico, 6 per il farmacologico."
Ospedale Sandro Pertini,"Via dei Monti Tiburtini, 385, 00157 Roma RM",0641 433356,martedì e giovedì,SI,SI,SI,Il servizio è disponibile tutte le mattine dal lunedì al venerdì con 12 posti per chirurgiche e 18 posti per le farmacologiche a settimana
Ospedale San Giuseppe Moscati - Avellino,"Contrada Amoretta, 83100 Avellino AV",0825 203111,Accettazione martedì e giovedì dalle 8:00 alle 10:00 per fissare data dell'ivg,SI,SI,SI,"Si accede al percorso IVG tramite consultorio per certificato e ecografia. In seguito si prenota visita in ospedale di persona a ginecologia dal lunedì al giovedì dalle 9 alle 12 portando tessera sanitaria, certificato interruzione e ecografia."
Azienda Ospedaliera Caserta (Anche Ospedale Sant'Anna E San Sebastiano),"Via Ferdinando Palasciano, 81100 Caserta CE",0823 231111,lunedì e mercoledì mattina dalle ore 7.30 alle ore 09.30,SI,SI,SI,"Privato convenzionato.  Per poter accedere al servizio IVG è necessario disporre di documento d’identità, tessera sanitaria, certificato medico, rilasciato da qualsiasi professionista medico abilitato, che attesti l’epoca della gravidanza e la volontà dell’assistita di volerla interrompere. Qualora il paziente fosse minorenne occorrerà il consenso-assenso dei genitori o specifica autorizzazione rilasciata dal Giudice Tutelare del Tribunale dei minori competente."
Azienda Ospedaliera Universitaria Luigi Vanvitelli,"Largo Madonna Delle Grazie, 1, 80138 Napoli NA",081 5665600; 081 5665601,"Prenotazioni dal Lunedì al Venerdì dalle h 9,00 alle h13,00",SI,SI,SI,IDENTITA' / TESSERA SANITARIA / TEST BHCG
Azienda Universitaria Policlinico Online Come Azienda Ospedaliera Universitaria Federico II,"Via S.Pansini, 5 - 80131 Napoli",081 7462975 (per prima visita),Telefonare dal lunedì al venerdì dalle 9 alle 11 per prenotare la visita di accesso al percorso IVG.,SI,SI,SI,Il reparto IVG si trova al V piano.
Presidio Ospedaliero Bari Sud,"Via Ospedale di Venere, 1, 70131 Bari BA",080 4626250 (pianificazione familiare - responsabile dottoressa Caradonna),Non specificati,SI,SI,SI,Si accede al percorso IVG su appuntamento. Telefonare alla pianificazione familiare. Per IVG farmacologia e chirurgica la struttura rimanda a Triggiano
Azienda Ospedaliera - Ospedali Riuniti - Foggia,"Viale Luigi Pinto, 1, 71122 Foggia FG",0881 736261 (ginecologia)         0881 731111 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG su appuntamento. Telefonare al reparto ginecologia tutti i giorni, solo di mattina."
Ospedale Di Triggiano - Bari,"Viale Aldo Moro, 32, 70019 Triggiano BA",080 4626250 ( pianificazione familiare) 080 50151111 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG solo su appuntamento, telefonando al servizio di Pianificazione Familiare (0804 626250)"
Ospedale Di Venere - Bari,"Via Ospedale di Venere, 1, 70131 Bari BA",080 5015111 (centralino),Non specificati,SI,SI,SI,Si accede al percorso IVG su appuntamento tramite la pianificazione familiare di Triggiano. La struttura rimanda a Triggiano anche per IVG chirurgica e ItTG
Presidio Ospedaliero N.1 V. Fazzi - San Cesario (Lecce),"Piazza Filippo Muratore, 1, 73100 Lecce LE",0832 661509 (ginecologia) 0832 215039 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG su appuntamento, chiamando il reparto ginecologia avendo già la documentazione (certificato e ecografia). Telefonare il martedì e il venerdì"
Presidio Ospedaliero San Paolo - Bari,"Via Capo Scardicchio, 70123 Bari BA",Per prenotazioni 0805843218 oppure po-sanpaolo.uosvd@asl.bar.it,Chiamare dal lunedì al venerdì mattina,SI,SI,SI,Il certificato e la datazione si possono fare direttamente da loro
Ospedale G. Tatarella - Cerignola (Fg),"Via Trinitapoli, 71042 Cerignola FG",0885 419111 (centralino) 0885 419606 (ginecologia) 0885 419600 (ostetrica referente),Non specificati,SI,SI,SI,Si accede al percorso IVG su appuntamento chiamando il reparto e avendo già impegnativa del medico curante.
"Ospedale Bianchi - Melacrino - Morelli - Reggio Calabria Online Come  Presidio Ospedaliero ""Morelli""",Viale Europa 89133 - Reggio Calabria (RC,0965 397111,dal lunedì al venerdì,SI,SI,SI,Per accedere a IVG ci si può presentare direttamente al reparto di ginecologia in via Melacrino - ambulatorio 2 al 5° piano e chiedere dell'Ostetrica Polimeni Katia. Presentarsi con un certificato.
Presidio Ospedaliero  “G. Jazzolino” Di Vibo Valentia,Piazza Fleming 89900 Vibo Valentia,0963 962111 (centralino) 0961 789789 (reparto ginecologia),Non specificati,SI,SI,SI,Si accede al percorso IVG telefonando al reparto ginecologia al numero 0961 789789 dal lunedì al venerdì dalle 10 alle 12
"Azienda Sanitaria Provinciale Di Cosenza ""Ospedale Di Castrovillari""","VIa P. Pio da Pietralcina, 87012 Castrovillari CS",0981 4851 0981 485/389-385-292  (prenotazione),Non specificati,SI,SI,SI,Si accede al percorso IVG telefonando all’ospedale al numero 0981 485/389-385-292 o recandosi al consultorio che prende contatti diretti con ospedale
San Carlo Azienda Ospedaliera Regionale,"Via Potito Petrone, 85100 Potenza PZ","0971 612618 (ginecologia)            0971 613177 (ambulatorio) 0971 611111 (centralino, chiamare e chiedere il reparto IVG)","venerdì su prenotazione dalle 8,30 al Padiglione F1 al 4* Piano",SI,SI,SI,Accesso sl percorso IVG tramite consultorio dove fanno certificato e poi il venerdi mattina si va in ospedale previa prenotazione telefonica da lunedi al giovedi dalle 11 alle 13.30
Ospedale Civile Villa D'Agri - Marsicovetere (Pz),"Viale S. Pio da Pietrelcina, 85050 Villa d'Agri, Marsicovetere PZ",0975 325050 (ginecologia)           0975-312111 (centralino),"Lunedì, martedì e giovedì",SI,SI,SI,Telefonare ogni giorno di mattina
Presidio Ospedaliero Madonna Delle Grazie - Matera,"Contrada Cattedra Ambulante, 75100 Matera MT",0835-253111 (centralino) 0835-253832 (ambulatorio)  0835 253669 (servizio IVG),Non specificati,SI,SI,SI,Si accede a IVG tramite appuntamento telefonico
AOU Policlinico Paolo Giaccone di Palermo,"Via del Vespro, 129, 90127 Palermo PA",091/655200989,Martedì dopo le 9 in ordine di arrivo,SI,SI,SI,"Padiglione 1a, day hospital senza appuntamento"
