Nome,Indirizzo,Numero,Orari,ivg_farm,ivg_chirurgica,itg,Annotazioni,CAP,Città
Presidio Ospedaliero di Garbagnate/Salvini,"Via Carlo Forlanini,  95",02 994302255 (ginecologia)      02 994302250 (sala parto) 02 994301 (centralino),Non specificati,SI,SI,SI,nan,20024,Garbagnate Milanese MI
Ospedale San Paolo di Milano,"Via Antonio di Rudinì,  8",02 81844186 02 81841 (centralino),lunedì 13:30 ad esaurimento,SI,SI,SI,"Per accedere al percorso IVG bisogna presentarsi in ambulatorio (stanza n°5, -1° piano) il lunedì alle 13.30 per fissare un appuntamento per analisi e data dell'intervento. Gli interventi sono in anestesia generale, su richiesta possibile svolgerli in anestesia locale.",20142,Milano MI
Ospedale Mangiagalli di Milano (anche Policlinico di Milano Ca' Granda),"Via della Commenda,  10",02 55034224 (consultorio via Pace) / 02-55034906 / 02 55034901 per la embrioriduzione (8-9 tutti i giorni),Non specificati,SI,SI,SI,"Per avere un appuntamento per IVG in breve tempo: 1) se sei già in possesso del Certificato di IVG e di una Tessera Sanitaria ancora valida o sei già in possesso di una STP valida devi telefonare al 02-55034906 , dal lunedì al venerdì dalle ore 8.00 alle ore 9.00 e dalle ore 14.00 alle ore 14.30 2) se non hai il Certificato di IVG oppure sei una cittadina proveniente da paesi extra-Unione Europea senza permesso di soggiorno devi chiamare il Consultorio 02-55034900 oppure inviare una mail a consultoriofamiliare@policlinico.mi.it Altre info su www.policlinico.mi.it/repart/194",20122,Milano MI
Ospedale Macedonio Melloni di Milano,"Via Macedonio Melloni,  52",02 636333305,Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite appuntamento. Telefonare al numero indicato il marted, mercoledì o giovedì dalle 11 alle 12. Risponde un operatore se ci sono posti disponibili, altrimenti risponde una segreteria telefonica.  Prima dell'intervento sono previsti 2 o 3 incontri per analisi, visita anestesiologica ed eventuale ecografia.",20129,Milano MI
ASST Grande Ospedale Metropolitano Niguarda,"Piazza dell'Ospedale Maggiore,  3",02 64441 (centralino) 02 6444/3789- 7944-7661,Martedì e Venerdì dalle 13 alle 14.30,SI,SI,SI,Per accedere al percorso IVG è necessario presentarsi allo sportello CUP (qualsiasi giorno della settimana),20162,Milano MI
Ospedale San Gerardo dei Tintori di Monza,"Via G. B. Pergolesi,  33",039 2331 (centralino) 039 2339441 (ginecologia)  039 2339434 (ambulatorio),Non specificati,SI,SI,SI,Per accedere al percorso IVG è necessario chiamare l'ambulatorio al numero 039 2339434 dalle 12 alle 14.30 dal lunedì al venerdì,20800,Monza MB
Ospedale Civile di Sesto San Giovanni (MI),"Viale Giacomo Matteotti,  83",02 57991 (centralino) 02 57999305 (ginecologia),"lunedì e giovedì mattina senza appuntamento, avendo già con certificato ed ecografia",SI,SI,SI,"Si accede al percorso IVG senza appuntamento negli orari indicati oppure tramite appuntamento, chiamando il reparto ginecologia al numero 02 57999305",20099,Sesto San Giovanni MI
Ospedale Buzzi di Milano,"Via Lodovico Castelvetro,  32",02 63631 ( centralino) 02 63635326 (infermeria),Il giorno dell'appuntamento presentarsi al Padiglione Gualta (2° piano) negli orari indicati. Necessario essere a digiuno e portare un campione di urine del mattino.,SI,SI,SI,Per accedere al percorso IVG occorre prendere un appuntamento via email all'indirizzo prenotagine.buzzi@asst-fbf-sacco.it e specificando a che settimana si è e avendo già un certificato,20154,Milano MI
Ospedale di Vizzolo Predabissi (MI),"Via Pandina,  1",02 98052263 (sala parto)       02 98058717-2274 (day hospital IVG) 02 98051 (centralino),day hospital dal lunedì al venerdì dalle 8.30 alle 14,SI,SI,SI,Si accede al percorso IVG con accesso programmato. Telefonare al numero 02 98058717-2274,20077,Vizzolo Predabissi MI
Azienda Ospedaliera Melegnano (MI),Via Cavour Camillo Benso 59 -  Melegnano (MI),02 98052667 02 98052274 02 98126684,Non specificati,SI,SI,SI,"Per accedere al percorso IVG è necessario prendere un appuntamento chiamando al numero 02 98052274 dal lunedì al venerdì, dalle 13 alle 15",20077,
Policlinico San Matteo (PV),"Viale Camillo Golgi,  19",0382 5011 (centralino) 0382 501215 (segreteria),Non specificati,SI,SI,SI,"Per accedere al percorso IVG è necessario prendere un appuntamento il lunedì, mercoledì e venerdì dalle 13.30 alle 14.30",27100,Pavia PV
Ospedale Fondazione Macchi di Cittiglio (VA),"Via Luvini,  2",0332 607241 (ginecologia ) 0332 607111 (centralino),Non specificati,SI,SI,SI,Si programmano in base ai turni del medico. Per accedere al percorso IVG chiamare tutti i giorni al numero della ginecologia,21033,Cittiglio VA
Ospedale Unificato Broni di Stradella (PV),Via Carlo Achilli,0385 582035 (ginecologia) 0385 582190 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG su appuntamento. Chiamare la ginecologia dal lunedì al venerì dalle 14 alle 15.30, avendo già la certificazione",27049,Stradella PV
Ospedali riuniti San Giacomo,Via Edilio Raggio 12,0143 332111 0143 332460 (consultorio),Non specificati,SI,SI,SI,Per IVG si accede tramite consultorio in via Papa Giovanni XXIII n.1 -  tel 0143 332640 su appuntamento.,15067,Novi Ligure AL
Ospedale Infermi di Biella,"Via dei Ponderanesi,  2",015 15151 015 15157636 (reparto IVG) 015 15157699 (reparto IVG) 015 15159351 (consultorio),solo la mattina,SI,SI,SI,"Si accede al percorso IVG tramite consultorio di Biella in via Caraccio 4 - tel 015 15159351 senza appuntamento, le dottoresse ci sono solo la mattina",13875,Ponderano BI
Azienda Ospedaliero-Universitaria Ospedale Maggiore della Carità di Novara,Largo Bellini,03213733672 (reparto) 0321 374459 (consultorio),Non specificati / Per IVG farmacologiche accesso diretto lunedì e mercoledì h 8-9 ambulatorio ginecologia seminterrato padiglione E,SI,SI,SI,Si accede al percorso IVG su appuntamento tramite consultorio del distretto in viale Roma 7. telefonare al numero 0321 374459 per appuntamento.,28100,Novara NO
Ospedale ostetrico ginecologico Sant'Anna - Torino,"Via Ventimiglia,  3",011 6331633,Non specificati,SI,SI,SI,"Per IVG richiedere prima certificato da un consultorio o ginecologo privato, poi prenotare tramite centralino chiedendo lo sportello 13",10126,Torino TO
Azienda Ospedaliera Nazionale SS. Antonio e Biagio e Cesare Arrigo (parte di Ospedale Civile Santi Antonio e Biagio e Cesare Arrigo),"Via Venezia,  16",0131 206111 0131 206197 (Reparto IVG),Non specificati,SI,SI,SI,nan,15121,Alessandria AL
Ospedale Centrale Di Bolzano,"Via Lorenz Böhler,  5",0471 908111                0471 348536,Non specificati,SI,SI,SI,nan,39100,Bolzano BZ
Ospedale S. Chiara - Trento,"Largo Medaglie d'oro,  9",0461 903111,Non specificati,SI,SI,SI,"L'IVG chirurgica viene effettuata al Presidio Ospedaliero Villa Igea in Via Malta, 16, 38122 Trento",38122,Trento TN
"Ospedale ""Tappeiner"" Merano - Bolzano","Via Rossini,  5",0473 264080 (ambulatorio) 0473-264088; 0473-264082; 0473 263333 (centralino),Giorni feriali ore 8-16,SI,SI,SI,nan,39012,Merano BZ
Ospedale di Belluno,"Viale Europa,  22",0437 516359,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,32100,Belluno BL
Ospedale Civile S. Maria degli Angeli - Adria,"Piazzale degli Etruschi,  9",0426 940370,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,45011,Adria RO
Ospedale di Feltre,"Via Bagnols Sur Cèzè,  1",0439 883447,Lunedì e venerdì,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,32032,Feltre BL
Ospedale Civile di Arzignano,via del Parco 1 -  Arzignano VI,0444 479111,Non specificati,SI,SI,SI,"L'IVG viene organizzata ed effettuata un giorno a settimana nel quale operano ginecologi esterni alla struttura. L'accesso avviene attraverso i consultori di Arzignano o Montecchio, in base alla residenza della paziente. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital",36071,
Ospedale Civile di Conegliano,"Via Brigata Bisagno,  2",0438 663290,Lunedì,SI,SI,SI,Per info ginecologiacn@ulss7.it L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,31015,Conegliano TV
Ospedale di Mirano,Via Don Giacobbe Sartor 4 -  Mirano (VE),0415 103520,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,30035,
Ospedale Di Legnago (Vr),"Via Carlo Gianella,  1",0442 622499 (prenotazione) 0442-622224 0442 622111,Non specificati,SI,SI,SI,Per accedere al percorso IVG telefonare la mattina entro le 13 al numero 0442 622499,37045,Legnago VR
Azienda Ospedaliera Universitaria Integrata di Verona (formata da Borgo Trento e Borgo Roma),P.le A. Stefani 1,045 8121111 (centralino) 045 2323717 (CUP per prenotazioni) 045 8122178 (Borgo Trento),"lunedì, mercoledì e venerdì dalle 11 alle 13",SI,SI,SI,"Per accesso al percorso IVG bisogna avere l'impegnativa con richiesta di datazione ecografica della gravidanza, ottenibile tramite consultorio e/o medico di fiducia. In tale documento viene specificato un tempo di attesa di 7 giorni dalla data di emissione per l'effettuazione della procedura chirurgica. In caso di urgenza per scadenza dei termini deve essere riportata sul documento la specifica di urgenza.  - Impegnativa con richiesta di datazione ecografica della gravidanza.  - Programmazione intervento tramite Day Hospital specialistico previa valutazione presso l'ambulatorio di Pianificazione Familiare - IVG.  - Presa in carico a breve termine ed effettuazione della prestazione richiesta secondo termini di legge. Richiesta medico curante ecografia per datazione gravidanza",37126,Verona VR
I.R.C.C.S Burlo Garofolo - Istituto per l'infanzia di Trieste,"Via dell'Istria,  65/1",040 3785111           040 3785384 (reparto) 040 3785370 (ginecologia),Non specificati,SI,SI,SI,Per avere informazioni bisogna chiamare reparto di ginecologia al numero 040 3785370 dalle 12 alle 14 Ambulatorio al 4 piano scala B,34137,Trieste TS
Ospedale S. Andrea di La Spezia,"Via Vittorio Veneto,  197",0187 533329        0187 533401 (reparto),Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite consultorio. Procedura IVG in Day Hospital, le analisi vengono effettuate presso l'ospedale.",19121,La Spezia SP
Ospedali Riuniti Imperia E Costarainera - Imperia (Online Come Ospedale Civile Di Imperia),Via Sant'Agata 57,0183 5361                      0183 537454 (per prenotazione),Non specificati,SI,SI,SI,Per accedere al percorso IVG occorre prenotare presso il reparto day surgery entro le ore 14 . Telefonare al numero 0183 537454,18100,Imperia IM
Ospedale SS Annunziata- Cento (FE),Via Vicini 2,051 683 8111 0516 838431 (consultorio),Non specificati,SI,SI,SI,Prenotazione tramite consultorio di Cento (0516 838431) dal lunedì al venerdì dalle ore 12:30 alle 13:30 L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,44042,Cento FE
Ospedale di Faenza (anche Ospedale Degli Infermi di Faenza),Viale Stradone 9,0546 601880,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,48018,Faenza RA
Ospedale Provinciale di Reggio Emilia,"Viale Risorgimento,  80",0522 296111,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,42123,Reggio Emilia RE
Ospedale Santa Maria delle Croci - Ravenna,"Viale Vincenzo Randi,  5",0544 285233,Mattina,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,48121,Ravenna RA
Ospedale Sant'Orsola - Bologna,Via Albertoni 15 -  Bologna BO,051 214 1111 0512 143535 (prenotazione),"martedì e venerdì, salvo eventuali urgenze",SI,SI,SI,Prenotazione in ambulatorio o telefonica allo 0512 143535 dal lunedì al venerdì dalle 11 alle 13.30. La paziente deve essere in possesso del certificato al momento della prenotazione. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,40138,
Ospedale Franchini - Montecchio,"Str. Barilla,  16",0522 860111 0522 860164 (consultorio),Non specificati,SI,SI,SI,Accesso al percorso IVG tramite consultorio.  L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,42027,Montecchio Emilia RE
Ospedale Santa Maria della Scaletta - Imola,"Via Montericco,  4",0542 664190,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,40026,Imola BO
Ospedale di Forlì- Morgagni e Pierantoni,"Via Carlo Forlanini,  34",0543 733100 (consultorio) 0543 731111,"IVG farmacologica tutti i giorni, IVG chirurgica solo il venerdì",SI,SI,SI,Prenotazione tramite consultorio al numero 0543 733100 tutti i giorni. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,47121,Forlì FC
Ospedale di Mirandola-(MO),"Via Antonio Fogazzaro,  6",0535 602111 0535602815 (consultorio),IVG chirurgica secondo turnazione del medico,SI,SI,SI,Prenotazione tramite consultorio al numero 0535602815 dal lunedì al sabato dalle ore 8:30 alle 12:30. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,41037,Mirandola MO
Ospedale Infermi di Rimini,"Viale Luigi Settembrini,  2",0541 705111 0541 747604 (consultorio),Martedì,SI,SI,SI,Accesso tramite consultorio al 0541 747604 L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital,47923,Rimini RN
Azienda Ospedaliera Pisana (anche Ospedale Cisanello),"Via Roma,  67",050 992111 050 992600/1 (ambulatorio) 050 992600 (consultorio),Non specificati,SI,SI,SI,Servizio IVG in Day Hospital. Day Hospital di Ginecologia/Ostetricia in ambulatorio nell'Edificio 5.,56126,Pisa PI
Ospedale di Nottola,Località Nottola,0578 713054,Non specificati,SI,SI,SI,Prenotare tramite consultorio chiamando al cell di riferimento 3387240764,53045,Ospedali Riuniti Valdichiana Sudest SI
Azienda ospedaliero-universitaria Careggi,"Largo Piero Palagi,  1",055 794111 055 7947729 (per informazioni),Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite l'Ufficio di programmazione chirurgica per interventi di Pianificazione familiare (IVG) da lunedì al giovedì ore 7:30 alle 9. Per accedere si prende il numero relativo alla ""pianificazione familiare"" dall'apposito Totem nella hall del Padiglione 7 Maternità e si attende la chiamata nella sala di attesa stanza 35. Per informazioni su IVG recarsi di persona o telefonare al numero 055 7947729 dal lunedì al venerdì dalle 11 alle 13.",50139,Firenze FI
Ospedale Città di Castello (PG),"Via Luigi Angelini,  10",075 85091,Non specificati,SI,SI,SI,nan,06012,Città di Castello PG
Ospedale di Umbertide (PG),Via Camillo Benso Conte di Cavour,0759 422272 - ambulatorio194.altotevere@uslumbria1.it,"lunedì, mercoledì e venerdì",SI,SI,SI,"Servizio attivo lunedì-mercoledì-venerdì per IVG con metodo farmacologico, il venerdì per IVG con metodo chirurgico. Accesso tramite i servizi consultoriali, inviando una mail alla casella di posta elettronica dedicata (ambulatorio194.altotevere@uslumbria1.it) o chiamando il numero 0759 422272",06019,Umbertide PG
Presidio Ospedaliero Senigallia (An),"Via B. Cellini,  1",071 79092504 (reparto ginecologia)  071 79092339 (consultorio),"Ivg farmacologica il martedì, giovedì e sabato. Ivg chirurgica il lunedì e il mercoledì.",SI,SI,SI,Si accede al percorso IVG tramite Consultorio. Telefonare al numero 071 79092339 dal lunedì al venerdì dalle 8.30 alle 12.30,60019,Senigallia AN
Ospedale Mazzoni Ascoli Piceno,"Via degli Iris,  1","0736 358548, coordinatrice reparto ostetricia e ginecologia",sabato mattina,SI,SI,SI,Per accedere all'IVG bisogna presentare il certificato IVG che si può richiedere presso un consultorio pubblico. Per il consultorio AIED telefonare al numero 0736 255270.,63100,Ascoli Piceno AP
Asur Urbino (Pu),Viale Guido Da Montefeltro 45,0722 3011,Non specificati,SI,SI,SI,nan,61029,Urbino (PU)
Ospedale San Filippo e Nicola di Avezzano,Via G. di Vittorio,Reparto ginecologia  0863499202 - 0863499201,Tutti i giorni tranne sabato dalle 11 alle 13,SI,SI,SI,"Si accede al percorso IVG senza appuntamento, insieme al ginecologo si sceglie percorso più adatto (chirurgico o farmacologico) e non è necessario portare documenti.",67051,Avezzano AQ
Ospedale S. Maria Goretti - Latina,Via Antonio Canova,0773 703908,Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite consultorio, che prende l'appuntamento per l'IVG. 5/7 posti disponibili a settimana",04100,Latina LT
Ospedale San Filippo Neri,"Via Giovanni Martinotti,  20",0633 062424,"lunedì, mercoledì e venerdì",SI,SI,SI,"Disponibili 6 posti a settimana per il chirurgico, 6 per il farmacologico.",00135,Roma RM
Ospedale Sandro Pertini,"Via dei Monti Tiburtini,  385",0641 433356,martedì e giovedì,SI,SI,SI,Il servizio è disponibile tutte le mattine dal lunedì al venerdì con 12 posti per chirurgiche e 18 posti per le farmacologiche a settimana,00157,Roma RM
Ospedale San Giuseppe Moscati - Avellino,Contrada Amoretta,0825 203111,Accettazione martedì e giovedì dalle 8:00 alle 10:00 per fissare data dell'ivg,SI,SI,SI,"Si accede al percorso IVG tramite consultorio per certificato e ecografia. In seguito si prenota visita in ospedale di persona a ginecologia dal lunedì al giovedì dalle 9 alle 12 portando tessera sanitaria, certificato interruzione e ecografia.",83100,Avellino AV
Azienda Ospedaliera Caserta (Anche Ospedale Sant'Anna E San Sebastiano),Via Ferdinando Palasciano,0823 231111,lunedì e mercoledì mattina dalle ore 7.30 alle ore 09.30,SI,SI,SI,"Privato convenzionato.  Per poter accedere al servizio IVG è necessario disporre di documento d’identità, tessera sanitaria, certificato medico, rilasciato da qualsiasi professionista medico abilitato, che attesti l’epoca della gravidanza e la volontà dell’assistita di volerla interrompere. Qualora il paziente fosse minorenne occorrerà il consenso-assenso dei genitori o specifica autorizzazione rilasciata dal Giudice Tutelare del Tribunale dei minori competente.",81100,Caserta CE
Azienda Ospedaliera Universitaria Luigi Vanvitelli,"Largo Madonna Delle Grazie,  1",081 5665600; 081 5665601,"Prenotazioni dal Lunedì al Venerdì dalle h 9,00 alle h13,00",SI,SI,SI,IDENTITA' / TESSERA SANITARIA / TEST BHCG,80138,Napoli NA
Azienda Universitaria Policlinico Online Come Azienda Ospedaliera Universitaria Federico II,Via S.Pansini 5,081 7462975 (per prima visita),Telefonare dal lunedì al venerdì dalle 9 alle 11 per prenotare la visita di accesso al percorso IVG.,SI,SI,SI,Il reparto IVG si trova al V piano.,80131,Napoli NA
Presidio Ospedaliero Bari Sud,"Via Ospedale di Venere,  1",080 4626250 (pianificazione familiare - responsabile dottoressa Caradonna),Non specificati,SI,SI,SI,Si accede al percorso IVG su appuntamento. Telefonare alla pianificazione familiare. Per IVG farmacologia e chirurgica la struttura rimanda a Triggiano,70131,Bari BA
Azienda Ospedaliera - Ospedali Riuniti - Foggia,"Viale Luigi Pinto,  1",0881 736261 (ginecologia)         0881 731111 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG su appuntamento. Telefonare al reparto ginecologia tutti i giorni, solo di mattina.",71122,Foggia FG
Ospedale Di Triggiano - Bari,"Viale Aldo Moro,  32",080 4626250 ( pianificazione familiare) 080 50151111 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG solo su appuntamento, telefonando al servizio di Pianificazione Familiare (0804 626250)",70019,Triggiano BA
Ospedale Di Venere - Bari,"Via Ospedale di Venere,  1",080 5015111 (centralino),Non specificati,SI,SI,SI,Si accede al percorso IVG su appuntamento tramite la pianificazione familiare di Triggiano. La struttura rimanda a Triggiano anche per IVG chirurgica e ItTG,70131,Bari BA
Presidio Ospedaliero N.1 V. Fazzi - San Cesario (Lecce),"Piazza Filippo Muratore,  1",0832 661509 (ginecologia) 0832 215039 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG su appuntamento, chiamando il reparto ginecologia avendo già la documentazione (certificato e ecografia). Telefonare il martedì e il venerdì",73100,Lecce LE
Presidio Ospedaliero San Paolo - Bari,Via Capo Scardicchio,Per prenotazioni 0805843218 oppure po-sanpaolo.uosvd@asl.bar.it,Chiamare dal lunedì al venerdì mattina,SI,SI,SI,Il certificato e la datazione si possono fare direttamente da loro,70123,Bari BA
Ospedale G. Tatarella - Cerignola (Fg),Via Trinitapoli,0885 419111 (centralino) 0885 419606 (ginecologia) 0885 419600 (ostetrica referente),Non specificati,SI,SI,SI,Si accede al percorso IVG su appuntamento chiamando il reparto e avendo già impegnativa del medico curante.,71042,Cerignola FG
"Ospedale Bianchi - Melacrino - Morelli - Reggio Calabria Online Come  Presidio Ospedaliero ""Morelli""",Viale Europa  - Reggio Calabria (RC,0965 397111,dal lunedì al venerdì,SI,SI,SI,Per accedere a IVG ci si può presentare direttamente al reparto di ginecologia in via Melacrino - ambulatorio 2 al 5° piano e chiedere dell'Ostetrica Polimeni Katia. Presentarsi con un certificato.,89133,
Presidio Ospedaliero  “G. Jazzolino” Di Vibo Valentia,Piazza Fleming  Vibo Valentia VV,0963 962111 (centralino) 0961 789789 (reparto ginecologia),Non specificati,SI,SI,SI,Si accede al percorso IVG telefonando al reparto ginecologia al numero 0961 789789 dal lunedì al venerdì dalle 10 alle 12,89900,
"Azienda Sanitaria Provinciale Di Cosenza ""Ospedale Di Castrovillari""",VIa P. Pio da Pietralcina,0981 4851 0981 485/389-385-292  (prenotazione),Non specificati,SI,SI,SI,Si accede al percorso IVG telefonando all’ospedale al numero 0981 485/389-385-292 o recandosi al consultorio che prende contatti diretti con ospedale,87012,Castrovillari CS
San Carlo Azienda Ospedaliera Regionale,Via Potito Petrone,"0971 612618 (ginecologia)            0971 613177 (ambulatorio) 0971 611111 (centralino, chiamare e chiedere il reparto IVG)","venerdì su prenotazione dalle 8,30 al Padiglione F1 al 4* Piano",SI,SI,SI,Accesso sl percorso IVG tramite consultorio dove fanno certificato e poi il venerdi mattina si va in ospedale previa prenotazione telefonica da lunedi al giovedi dalle 11 alle 13.30,85100,Potenza PZ
Ospedale Civile Villa D'Agri - Marsicovetere (Pz),"Viale S. Pio da Pietrelcina,   Villa d'Agri",0975 325050 (ginecologia)           0975-312111 (centralino),"Lunedì, martedì e giovedì",SI,SI,SI,Telefonare ogni giorno di mattina,85050,Marsicovetere PZ
Presidio Ospedaliero Madonna Delle Grazie - Matera,Contrada Cattedra Ambulante,0835-253111 (centralino) 0835-253832 (ambulatorio)  0835 253669 (servizio IVG),Non specificati,SI,SI,SI,Si accede a IVG tramite appuntamento telefonico,75100,Matera MT
AOU Policlinico Paolo Giaccone di Palermo,"Via del Vespro,  129",091/655200989,Martedì dopo le 9 in ordine di arrivo,SI,SI,SI,"Padiglione 1a, day hospital senza appuntamento",90127,Palermo PA
Ospedale San Giovanni di Dio di Agrigento,Contrada Consolida,0922 442415-16,Martedì mattina,SI,SI,SI,Si accede al percorso IVG tramite consultorio che rilascia certificato. Dopo una settimana dalla data del certificato telefonare in ospedale per appuntamento allo 0922 442415,92100,Agrigento AG
