Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Nuffield Hospital Plymouth,Derriford Road,PL6,"8BG Devon, Plymouth",England,South West England
"bpas Swindon, Dammas House",Dammas Lane,SN1,3EF Swindon,England,South West England
"bpas Torquay North, Day Surgery Unit","Torbay Hospital, Lawes Bridge",TQ2,7AA Torquay,England,South West England
"Duchy Hospital, Truro",Penventinnie Lane,TR1,"3UP Cornwall, Truro",England,South West England
Calthorpe Clinic Birmingham,"4 Arthur Road, Edgbaston",B15,2UL Birmingham,England,West Midlands
"bpas Birmingham Central, Guildhall Buildings",Navigation Street,B2,4BT Birmingham,England,West Midlands
"bpas Birmingham South, Robert Clinic",162 Station Road,B30,1DB Birmingham,England,West Midlands
"bpas Tamworth GU Unit, Sir Robert Peel Hospital","Plantation Lane, Mile Oak",B78,3NG Tamworth,England,West Midlands
bpas Coventry,"4, Greyfriars Rd",CV1,3RY Coventry,England,West Midlands
Nuffield Health Hereford Hospital,Venns Lane,HR1,1DF Hereford,England,West Midlands
Stoke Pregnancy Advisory Service,Wharf Street,ST5,1JZ Newcastle under Lyme,England,West Midlands
Nuffield Hospital North Staffordshire,Clayton Road,ST5,"4DB Newcastle-under-Lyme, Staffordshire",England,West Midlands
"bpas Shrewsbury, Marysville Medical Practice",Brook Street,SY3,7QR Shropshire,England,West Midlands
Nuffield Hospital Shrewsbury,Longden Road,SY3,"9DP Shropshire, Shrewsbury",England,West Midlands
"bpas Telford, The Wellington Medical Practice","Chapel Lane, Wellington",TF1,1PZ Telford,England,West Midlands
BMI The Droitwich Spa Hospital,,WR9,"8DN Worcestershire, Worcester",England,West Midlands
"bpas Cannock, Cannock Chase Hospital",Brunswick Road,WS11,"5XY Staffordshire, Cannock",England,West Midlands
"bpas Wolverhampton, Thornley Street Medical Practice",40 Thornley Street,WV1,1JP Wolverhampton,England,West Midlands
Central Wolverhampton Clinic,45 Queen Street,WV1,3BJ Wolverhampton,England,West Midlands
Spire Hull and East Riding Hospital,Lowfield Road Anlaby,HU10,7AZ East Yorkshire,England,Yorkshire and the Humber
bpas Leeds,7 Eastgate,LS2,7LY Leeds,England,Yorkshire and the Humber
Marie Stopes International Leeds Centre,45 Barrack Road,LS7,"4AB Yorkshire, Leeds",England,Yorkshire and the Humber
